Id,SpeakerName,Phrase,translation
1010218001,望有,いよいよ本番よ。/nいまさら聞くことでもないけど……準備はできてるわね？,终于到正式演出了。/n虽说事到如今再问有点多余……你们准备好了吗？
1010218002,众人,はい！,是的！
1010218003,望有,それじゃ、準備して。/n開場まで、気を抜かないように。,那么，再稍作准备吧。/n在开场之前，都不要疏忽大意。
1010218004,心菜,卡特琳娜ちゃん、いよいよだね！,小卡特琳娜，终于到了这一刻呀！
1010218005,卡特琳娜,え、ええ……。,呃，嗯……
1010218006,潘达,お？　さすがのカトりんも緊張してます？,哦？哪怕是卡特琳也在紧张着吗？
1010218007,卡特琳娜,さすがってなによ？　緊張するに決まってるでしょ。,为什么要说哪怕啊？我当然会紧张呀。
1010218008,静香,緊張が自覚できてるなら、自分がちゃんと見えてる。/n以前みたいなことにはならないわよ。,既然对紧张有所自觉，说明能看清自己的状态。/n这样你肯定不会重蹈覆辙。
1010218009,知冴,卡特琳娜の代役の稽古、無駄になりそうだね。,关于替代卡特琳娜的练习，好像要白费功夫了。
1010218010,八恵,はい。そうなって何よりです。,是的。这样就再好不过来。
1010218011,八恵,……けど、/n私はいつでも代われるので遠慮せずに言ってくださいね？,……不过，/n我时刻都准备着替代上场，如果你们有问题，请不要顾虑直接说出来好吗？
1010218012,心菜,や、八恵ちゃん……。,小，小八惠……
1010218013,静香,み、見える……八恵ちゃんの後ろに/n私は全然やれるぞって、気迫の炎が……！,能，能看见……在小八惠的背后/n仿佛在诉说着”我完全可以哦“一样，化为火焰般的气势……！
1010218014,卡特琳娜,ええ、もしものときはお願いするわ。/nそんなことは、万にひとつもないだろうけど。,好的，如果有万一就拜托你了。/n当然，这万一绝对不会发生。
1010218015,心菜,卡特琳娜ちゃんの後ろにも、ほ、炎がメラメラ……。,小卡特琳娜的身后也有，火，火焰在熊熊燃烧……
1010218016,潘达,はいはーい！/n本番前の無駄なピリピリはご法度ですよー。,好了好了—！/n在正式上场前禁止没有意义的较劲—。
1010218017,知冴,修羅場は舞台の華だけど、するなら幕が開いてから。,虽说修罗场是在舞台上盛开的鲜花，但也请等到揭幕之后再绽放吧。
1010218018,八恵,はーい。,好的—。
1010218019,卡特琳娜,言われなくてもわかってるわよ。,不用你说我也知道。
1010218020,潘达,そういえば……センスのほうはどうなんですか？,说起来……你的个性怎么样了？
1010218021,卡特琳娜,まだダメみたい。,好像还是不行。
1010218022,卡特琳娜,やっぱり、そう上手くはいかないものね。,果然事情不是都能那么顺利呀。
1010218023,卡特琳娜,けど、そんなの大した問題じゃないわ。/nそう言い切れるくらいの稽古をしてきたもの。,但是，这也没什么大不了的。/n毕竟我已经经历了能使我如此断言的练习。
1010218024,潘达,へぇ～……。/nあれだけ苦労したのに、そんな顔できちゃうんですね。,这样啊~……/n明明练习那么辛苦，亏你还能摆出这副表情呀。
1010218025,卡特琳娜,まったくね。自分で自分に呆れるわ。,我也赞同。简直被我自己给惊呆了。
1010218026,卡特琳娜,でも、これがアタシなの。/n自分の居場所はここしかないって、わかってるのよ。,但是，这就是我。/n我知道自己的容身之地只有现在这一处。
1010218027,卡特琳娜,どんなに辛い目に遭ったとしても、/n舞台からは離れられない。結局、ここに戻ってきてしまう。,无论遭遇怎样的困难，/n我都无法离开舞台。到头来，终究还是会回到这里。
1010218028,卡特琳娜,たぶん、アタシは一生こんな感じなんだろうな。/n仕方ないわよ、あのママから生まれたんだから。,或许，我的一生都会如此吧。/n也没办法呀，毕竟我是被妈妈生下来的孩子。
1010218029,潘达,……不敵に笑いながら、そのセリフ言えるんだもんなぁ。,……明明脸上挂着无所畏惧的笑容，却说着这样的台词啊。
1010218030,潘达,そんな人が主役なんだから、この舞台は大成功間違いなしですよ。,既然这样的人是主角，我们的舞台肯定会取得圆满成功呀。
1010218031,卡特琳娜,フフッ、当然のこと言わないでよ。,呵呵，这种理所当然的事情就不要说啦。
1010218032,卡特琳娜,さぁみんな、行きましょうか。/n最高の人魚姫を披露するわよ！,好了，我们走吧。/n要展现出最棒的美人鱼！
1010218033,卡特琳娜,（ついに幕が上がる……アタシが主役の、舞台の幕が……）,（幕布终于要被揭开……那是我作为主角的，舞台的幕布……）
1010218034,卡特琳娜,（あとはもう、やることはひとつだけ……/n　今のアタシのすべてを、みんなに魅せてあげる！）,（该做的事情，只剩一个……/n以我现在的一切，让大家沉醉其中！）
info,录制：ylaie  翻译：null  校对：潮留开,,
title,我闪耀的舞台,,
