Id,SpeakerName,Phrase,translation
2005002001,仁花子,ふ～ふふっふ～ん♪,哼~哼哼哼~哼♪
2005002002,大黑,にかっちはここ最近ずっとご機嫌ね……。,仁花花这几天看起来心情非常好呢……。
2005002003,仁花子,みんなで行くキャンプが楽しみで！/n早く日曜日にならないかなぁ～！,好期待和大家一起去露营啊！/n星期天能不能早点到来呢~！
2005002004,仁花子,前に話したおおいぬ座とこいぬ座も楽しみだけど、/nやっぱりオリオン座も楽しみ！,虽然说很想看大犬座和小犬座、/n但猎户座也很叫人期待呢！
2005002005,仁花子,みんなで冬の大三角を指でなぞったり……、/nあっ！　冬の夜空はそれだけじゃなくてふたご座も……。,和大家一起指出冬季大三角……、/n啊！冬天的话好像还能看到双子座……》
2005002006,大黑,えっ、ええ。/nそうなのね……。,诶、哦哦。/n是呢……。
2005002007,时雨,まだ当日でもないのに、もう夜の話ですかぁ？/n気が早すぎません？,还没到那天呢、这就开始讨论晚上要干嘛了吗？/n也太心急了吧？
2005002008,仁花子,えへへ～、だって楽しみだから！/nワクワクしすぎて眠れなくなるくらい！,诶嘿嘿~、太期待了！/n甚至晚上都睡不着觉呢！
2005002009,时雨,ふ～ん、ちなみに昨日はどのくらい寝たんですか？,嗯~、顺便问问你昨天几点睡的呢？
2005002010,仁花子,えーとねぇ、8時間！,我想想、八点钟！
2005002011,时雨,しっかり寝てるじゃないですか！,你这不是睡得很香嘛！
2005002012,大黑,（正直、日曜日のキャンプ……不安だわ。/n　前回のキャンプは確かに楽しかったけど、結局ヘトヘトになったし……）,（说实话、我对星期天的露营……有点不安呢。/n上一次露营虽然很开心、但最后却搞得精疲力尽的……）
2005002013,大黑,（けど、にかっちがこんなにも楽しみにしてるんだもの。/n　それに我が主や容さんだって乗り気）,（不过、看在仁花花这么期待。/n吾主和容也很有干劲）
2005002014,大黑,（だったら、私が水を差すのも嫌だし……。,（那、我也不能泼大家的冷水呢……。/n
2005002015,大黑,　それに、不安だなんて言ってあのガキにとやかく言われるのもムカつくわね）,而且、这种时候打退堂鼓事后肯定会被那小鬼的说三道四给气死的）
2005002016,大黑,そうね、にかっち。/n私も日曜日のキャンプ、楽しみだわ。,是啊、仁花花。/n我也很期待、星期日的露营呢。
2005002017,时雨,时雨は別に楽しみじゃありません！/n仁花子先輩に誘われてなかったら、キャンプなんか行ってませんから！,时雨可没觉得有多值得期待的！/n只是仁花子前辈巴不得我去、我才去的哦！
2005002018,大黑,どうでもいいけど、今度は寒いとかギャーギャー騒がないでよね。/nただでさえ、前は暑いのなんだのうるさかったんだから。,随便啦、这次可别吵吵着很冷啥的乱发牢骚啊。/n本来你、之前夏天抱怨得就够多的了。
