Id,SpeakerName,Phrase,translation
2003104001,讲师,では次、ふたり一組でかけあいの即興劇を行いましょうか。/n周りの人とペアを組んでくださいね。,那么接下来进行双人即兴剧吧。/n请和周围的人组队。
2003104002,卡特莉娜,ひとり余っちゃうけどどうする？,多出了一个人怎么办？
2003104003,知冴,私、ひとりで来てる他の人と組むよ。/nせっかくだし。,我和其他单独来的人组队吧。/n毕竟是难得的机会。
2003104004,静香,ありがとう流石。,谢谢流石。
2003104005,静香,じゃあ私とカトリナがペアね、よろしく。,那我和卡特莉娜组队，请多指教。
2003104006,卡特莉娜,ええ。,嗯。
2003104007,讲师,皆さんペアを組めましたか？/nそれでは新しいお題を出します。,大家都组好队了吗？/n现在公布新题目。
2003104008,讲师,お題は、『とある理由で喧嘩中の夫婦』です。/n喧嘩の理由や、夫婦の行く末は皆さんの想像にお任せします。,题目是『因故争吵的夫妻』。/n关于吵架的理由和夫妻最后的结局请大家自由发挥。
2003104009,讲师,それと。今回はキャラクター設定も自由です。/n年齢も職業も世界観も、自由に決めちゃってくださいね。,另外本次的角色设定也自由。/n年龄职业世界观都请随意决定。
2003104010,卡特莉娜,自由……！？,自由……！？
2003104011,讲师,私が思っているよりずっと、皆さん想像力が豊かなようですから。/nふふふ。存分に見せてください。,看来大家的想象力比我预想的更丰富呢。/n呵呵呵，请尽情展示吧。
2003104012,卡特莉娜,……。/n流石みたいなのを期待されてたりしないわよね……？,……/n应该不是在期待我们像流石那样乱来吧……？
2003104013,静香,へえ、楽しそう。,欸，好像很有趣。
2003104014,卡特莉娜,何喜んでるのよ。なんでもしていいってことは、/nなにが正解か分からないってことでしょ……。,高兴什么啊。说什么可以自由发挥，/n就意味着没有正确答案吧……
2003104015,静香,そんなこと気にしてたの？/n先生もうまくやろうとしなくていいって言ってたじゃない。,原来你在担心这个吗？/n老师不是说不用勉强自己吗。
2003104016,讲师,ああそうだ、夫と妻どちらを演じるかは決めていいですが、/nそれ以上の打ち合わせはNGです。,啊对了，可以决定好谁演丈夫谁演妻子，/n但禁止提前商量更多设定。
2003104017,讲师,考えた設定は、相手に伝えず、劇の中ですり合わせていってください。,请通过剧中互动自然磨合设定，不要提前告知对方。
2003104018,静香,へぇ、正真正銘の即興劇ってことね。/nなら私は夫役を演じたいわ。,哦，是真正的即兴剧呢。/n那我演丈夫。
2003104019,卡特莉娜,いいけど……宇宙人とか、妙な設定つけてこないでよ。,可以……但别给我加外星人这种的奇怪设定啊。
2003104020,静香,それも面白そうね。/nどうしようかしら？,那好像也很有趣呢。/n要不要加呢？
2003104021,卡特莉娜,ちょっと……！,喂……！
2003104022,静香,あはは、冗談だってば。,哈哈，开玩笑的啦。
2003104023,卡特莉娜,もう……。,真是的……
2003104024,讲师,では順番にやっていきましょうか。/nそちらのお二方、舞台上に来てください。,那么按顺序开始吧。/n请两位到舞台上来。
2003104025,,,
2003104026,讲师,次は静香さんとカトリナさんの番ですね。/nカトリナさんは先ほども良い演技を見せてくれましたから、楽しみです。,接下来是静香和卡特莉娜。/n卡特莉娜刚才的表演很出色，期待你接下来的表现。
2003104027,卡特莉娜,ありがとうございます。,谢谢。
2003104028,静香,良かったわね。,太好了呢。
2003104029,讲师,みなさんも気づかれていると思いますが、掛け合いのエチュードでは、/n互いの世界観や設定をうまく伝え、壊さず対処しあうことが要です。,大家应该也发现了，搭档即兴演出的关键在于，/n既要传达彼此的世界观设定，又要保持连贯性。
2003104030,讲师,ですが、それに気をとられて表現の幅を狭めることはしないよう、/n気をつけてくださいね。では始めてください。,但请注意不要因此限制表现力。/n那么就开始吧。
2003104031,卡特莉娜,『……』,『……』
2003104032,卡特莉娜,『今日も遅い。あの人はまだ帰ってこないの……』,『今天又这么晚。他还没回来……』
2003104033,静香,（カトリナは、帰りの遅い夫を待っている設定か）,(卡特莉娜的设定是等待晚归丈夫的妻子吗)
2003104034,静香,（なら私は慎重にノック、/n　恐る恐るノブを引く演技で、帰宅したことを表現して――）,(那我就用谨慎敲门/n小心翼翼转门把的动作来表现回家——)
2003104035,,,
2003104036,静香,『――やあ、久しぶり』,『──呀，好久不见』
2003104037,卡特莉娜,『あなた……！』,『你……！』
2003104038,静香,『本当にごめんよ。/n　顔を見せるのが数か月ぶりになってしまった』,『抱歉了啊。/n几个月没见面』
2003104039,卡特莉娜,（数か月……静香の設定はわからないけど、/n　出張とか多い職業なのかしら？）,(几个月……虽然不知道静香的设定如何，/n看样子是经常出差的职业吗？)
2003104040,卡特莉娜,『いい加減にして。いつも仕事仕事って、/n　私のことはどうでもいいのね』,『适可而止吧。张口就是工作工作的，/n你根本就不在乎我吧』
