Id,SpeakerName,Phrase,translation
2003101001,静香,ええ！？/nバイトで行けなくなったぁ！？,哎！？/n要打工所以去不了了！？
2003101002,心菜,そうなの……。/n前から予定入ってたの忘れてて、シフト入れちゃって……。,嗯……。/n忘记已经有别的行程了，结果排班的时候不小心又排进去了……
2003101003,静香,まったくもう、自己管理が甘いんだから……。/n私が予定を把握しておくべきだったわ。,真是的，自我管理也太松懈了……/n我应该提前确认好你的行程的。
2003101004,静香,でも、いいの？　演技の幅を広げたいって言ってたじゃない！,真的打算不去了吗？你不是说要拓展演技的广度吗！
2003101005,静香,あの人から教えてもらえる、またとないチャンスなのよ？,这可是向那位老师请教的难得机会啊？
2003101006,心菜,うん……。/n行きたいんだけど、どうしてもバイトを交代できる人がいないんだ。,呜……。/n虽然真的很想去，但实在找不到能代班的人。
2003101007,心菜,オーナーには普段から融通利かせてもらってるから、/nこれ以上迷惑かけたくなくて……。,老板平时已经很照顾我了，/n不想再给他添更多麻烦……
2003101008,,,
2003101009,卡特莉娜,さっきから何？/n静香の声が廊下まで聞こえてきたわよ。,你们在吵什么？/n静香的声音都传到走廊里了。
2003101010,静香,聞いてよカトリナ！/n今日って私たち３人でワークショップに行く予定だったでしょ？,卡特莉娜你看看她！/n我们三个本来今天约好要一起去研习会的吧？
2003101011,卡特莉娜,え、ええ。/nパントマイムで有名なパフォーマーが講師のやつよね。,是..是啊。/n就是那个由著名默剧演员担任讲师的研习会吧。
2003101012,卡特莉娜,ここながフライヤー見て、行きたいって大騒ぎして……。,心菜看到宣传单后还兴奋地说一定要去……。
2003101013,心菜,くぅ……。,呜……。
2003101014,卡特莉娜,なによその子犬みたいな声は……。,怎么突然发出小狗一样的声音……。
2003101015,卡特莉娜,は？　まさか当日になって行けないとか？,哈？难道你到了今天突然说去不了了？
2003101016,心菜,わーん！/nごめんなさーい。,哇啊！/n对不起嘛！
2003101017,静香,もう、これに懲りたらちゃんとバイトのシフト確認しなさいよ！/n今回は私とカトリナで行ってくるから。,真是的，吃一堑长一智，下次要好好确认打工排班哦！/n这次就让我和卡特莉娜去吧。
2003101018,心菜,うん……。あ、でも参加券余ってるのは申し訳ないから……。/n誰か代打で行きたい人いたりしないかな？,嗯……。啊，不过剩下的入场券好浪费……。/n有没有谁想代替我去呢？
2003101019,静香,そうね。せっかくだし聞いてみましょうか。,说的也是。毕竟机会难得，先问问看吧。
2003101020,,,
2003101021,知冴,——そんなこんなで私が呼ばれたってワケ。,——于是就把我给叫来了。
2003101022,心菜,急にごめんね流石ちゃん。,突然叫你过来真不好意思啊流石。
2003101023,潘达,いやいや。こういう時こそさっすーの出番ですよ。/nパントマイムにも興味深々でしたから。,哪里哪里。流流就该在这种时刻出马。毕竟她对默剧也很感兴趣呢。
2003101024,知冴,うん。ワークショップの話を聞いて、ビビビっときたんだ。,"嗯。听到是关于研习会的事就『哔哔哔』地来了。"
2003101025,卡特莉娜,さすがは多趣味……。/n行動のハードル低いわね。,不愧是兴趣广泛……/n行动门槛真低呢。
2003101026,静香,なら良かったわ。,那太好了。
2003101027,卡特莉娜,ここなもすごく行きたそうだったけど……残念ね。/nまあ、帰ったら教わったことを話すから。,虽然心菜看起来非常想去……真可惜。/n等我回来，会把学到的东西告诉你的。
2003101028,知冴,まかせて。/nパフォーマンスの極意を伝授するよ。,交给我吧。/n之后会把表演的秘诀传授给你的。
2003101029,心菜,うん、よろしくお願いしますっ。,嗯，拜托你们了。
2003101030,心菜,じゃあみんな、そろそろ時間だよね？/nいってらっしゃい。,大家也差不多要出发了吧？/n路上小心。
2003101031,,,
2003101032,静香,…………。,…………。
2003101033,静香,（出発したけど、/n　この３人で出かける機会って、あんまり無いわよね）,（虽说出发了，/n但我们三个人一起出门的机会，基本没有呢）
2003101034,静香,（ここながいないせいなの？　/n　なんだか少し落ち着かない……）,（是因为心菜不在吗？/n总觉得有点冷静不下来……）
2003101035,静香,（カトリナは……。落ち着いてるわね）,（卡特莉娜倒是……。很平静呢）
2003101036,静香,（流石は……。ウトウトしてる。/n　マイペースなあの子らしいというか……リラックスしてる）,（流石则是……。在打瞌睡。/n很有流石的感觉呢……很放松）
2003101037,静香,（みんないつも通りだわ）,（大家都和往常一样呢）
2003101038,卡特莉娜,……さっきから何？/nそわそわして。,……你从刚才开始就怎么了？/n坐立不安的。
2003101039,静香,あっ。/nいや、この３人って珍しいメンバーだと思って……。,啊。/n只是觉得我们三个人的组合挺少见的……。
2003101040,卡特莉娜,そうね。/n静香と出かける時はたいていここなが一緒だし。,是啊。/n和静香出门时通常都有心菜一起。
2003101041,卡特莉娜,何、相棒がいなくて不安なの？,怎么，搭档不在所以感到不安吗？
2003101042,静香,そんなことないわよ。/nただ、話題には困ってるけど……。いつもはここながよく喋ってるし。,才没有呢。/n只是不知道该找什么话题……。平时都是心菜在活跃气氛。
2003101043,卡特莉娜,別に無理して話さなくていいでしょ。/nそこで気を遣うようなキャラじゃないと思ってたわ。,不用勉强找话题啊。/n我本来以为你是不会在意这种事的人。
2003101044,静香,ううん、無理はしてない。/n私もここな以外の人と、もっと仲を深めたいって思ってはいるから。,没有勉强。/n我也想和心菜以外的人加深沟通。
2003101045,卡特莉娜,……そう。,……这样啊。
2003101046,卡特莉娜,……。/nなら、アタシは演劇の話でお願い。参考になるおすすめの舞台とか。,……。/n那和我聊聊关于戏剧的话题吧。比如推荐些值得参考的舞台剧。
2003101047,静香,カトリナはやっぱりストイックね。,卡特莉娜果然对自己很严格呢。
2003101048,静香,それは私も望むところよ。,这也正合我意。
2003101049,卡特莉娜,ふふ。/n……アンタとなら有意義な議論ができそうね。,呵呵。/n……和你的话应该能进行有意义的讨论吧。
title,研习会,,
info,翻译：苏米热 校对：XXX,,
chapter,倒影中的静思,,
