Id,SpeakerName,Phrase,translation
2001401001,八恵,新しい演目、ですか？,新的演出吗？
2001401002,潘达,はい。工藤さんがシリウスでも古典以外の演目をもっとやっていくべきかも～/nなんてお話を柊さんとしていたのを目撃しまして。,嗯。我看到工藤姐在和柊姐聊天的时候谈到，天狼星也应该多尝试一些/n古典剧之外的演出。
2001401003,潘达,ここはひとつ、ぱんだたちで企画を持ち込んでみるのはどうでしょうか！,我的想法是，不如就由我们来提出一个策划怎么样！
2001401004,知冴,その心は？,真心话呢？
2001401005,潘达,シリウスのために馬車馬の如く働きリーダーシップを見せるぱんだ！　/nさすがぱんだ！　ぱんだかわいい！　演技もうまい！　センスもある！,为了天狼星像拉车的马一样努力工作，展现领导力的潘达！/n不愧是潘达！潘达好可爱！演技也很好！个性也很出众！
2001401006,卡特莉娜,妄想の間違いじゃなくて？,妄想过头了吧？
2001401007,心菜,か、カトリナちゃん！,卡、卡特莉娜！
2001401008,静香,ぱんだの思惑は置いておくとして……,把潘达的想法先放在一边……
2001401009,静香,その企画っていうのが新しい演目のことなの？,你说的那个策划，指的是新的演出吗？
2001401010,潘达,ですです。ぱんだ、演じるのも大好きですけど、/n実は戯曲を書いたり演出したりにも興味がありまして～。,对的对的，潘达我最喜欢演戏了，/n但其实我也对写剧本和导演很感兴趣～
2001401011,潘达,というわけで、脚本ぱんだ、演出ぱんだ、主演ぱんだで何かやりましょう！,所以呢，剧本由潘达来写，导演由潘达来，主演也由潘达来，就这样做点什么吧！
2001401012,卡特莉娜,さらっと自分を主演に組み込むのは卑怯じゃない？,这么轻描淡写地把自己安排成主演，不觉得有点不公平吗？
2001401013,知冴,そこはやっぱりオーディションだよね。/n……私、バイオロイドの役がいいな。,果然角色还是得通过试镜吧。/n……我想演一个生化人。
2001401014,潘达,おーい、さっすー。SF劇とは一言も言ってないぞー。/nいきなりぶっ飛んだ役指名すんじゃねー。,喂，流流，我可没说过是科幻剧啊。/n别突然指定这么跳跃的角色。
2001401015,静香,はぁ……それで、どんな演目をやる予定なの？,唉……那你想要的是什么样的演出呢？
2001401016,潘达,そうですね……やってみたいのは実話系で、/nぱんだたちにしかできない、身近で、だけど不思議な物語。,嗯……我想要的是基于真实故事的，/n只有我们才能演出来的，贴近生活但又不可思议的故事。
2001401017,心菜,身近で、不思議……？,贴近生活，又不可思议……？
2001401018,潘达,ずばり……ここちゃんとおシズちゃんのセンスを題材にした物語です。,简单来说……就是以心心和小静的个性为题材的故事。
2001401019,静香,私たちの……？,我们的……？
2001401020,潘达,ある時からダイスターを志す演じ手たちの間に生まれた輝きの形、センス……/nその中でも異質な、もうひとりのここちゃんという存在。,从某一时刻开始，目标是成为大明星的演员们之间诞生的光芒的形态、也就是个性……/n其中有一位独特的存在，被称为另一个心菜。
2001401021,潘达,夢物語のキャラクターみたいなおシズちゃんの半生を描いた舞台は/n面白くなるんじゃないかなーって。,我觉得描绘像梦幻故事里的角色一样的小静半生的舞台，/n一定会变得很有趣吧。
