Id,SpeakerName,Phrase,translation
1010320001,卡特莉娜,すー……すー……。,呼……呼……
1010320002,心菜,カトリナちゃん、もう眠っちゃったね。,卡特莉娜已经睡着了呢
1010320003,静香,打ち上げでも、はしゃいでたからね。/n公演が終わるまでは、カトリナも張り詰めてたし……。,"因为在庆功宴上太兴奋了吧/n一直到公演结束前，卡特莉娜都绷紧着神经……"
1010320004,心菜,そうなの？　カトリナちゃんの演技、良かったと思うけど……。,是吗？我觉得卡特莉娜的演技很棒啊……
1010320005,静香,自分じゃなくて、私たちのことを心配してたのよ。/nカトリナ、周りを気にするタイプだから。,"她不是在紧张自己，是在担心我们啦/n卡特莉娜是那种会在意周围人的类型"
1010320006,心菜,そっか……今度、ちゃんとお礼言わなきゃ……。,这样啊……下次要好好道谢……
1010320007,,,
1010320008,,,
1010320009,静香,『悪魔の友人』……良い舞台だったわね。,『恶魔之友』……真是部好作品
1010320010,心菜,うん。演じてて、すっごい楽しかった。,嗯。演起来超级开心
1010320011,心菜,でも、みんなにまた迷惑かけちゃったな……。,不过又给大家添麻烦了……
1010320012,心菜,自分が未熟だって、よくわかったよ。/n役作りだけで、あんなに時間かけちゃうなんて……。,"深刻体会到了自己的不成熟/n光是角色塑造就花了那么多时间……"
1010320013,心菜,結局、静香ちゃんや周りのみんなに心配させてさ……。,最后还让静香和大家担心了……
1010320014,心菜,静香ちゃんに頼りっぱなしだったこともわかったし……。/n反省しなきゃいけないこと、たくさんだなぁ……。,"发现自己总是依赖着静香……/n需要反省的事情还有很多呢……"
1010320015,静香,それを言うなら、私もよ。/nひとりでいろいろ考え込んで、勝手に決めて……。,"要这么说的话我也一样/n独自胡思乱想，一个人擅自决定……"
1010320016,,,
1010320017,静香,みんなが切り開いてくれた道を、全部投げ捨てるところだったわ。/nあの時、もし諦めてたらと思うと……手が震える。,"差点抛弃了大家开辟的道路/n一想到那时如果真的放弃的话……手都在发抖"
1010320018,心菜,でもあれは、私が役作りに手こずっていたから……。,但那是因为我的角色塑造进展不顺利……
1010320019,静香,それは私が——,那是因为我——
1010320020,静香,……って、きっと堂々巡りね。,……这样又要陷入死循环了
1010320021,心菜,うん、そうだね。,嗯，是啊
1010320022,心菜,でも、もっと早くに今の自分になれていたら、/nもっとひよりも上手く演じられたんだろうなぁ。,"但如果能更早成为现在的自己/n一定能够更好地演绎日和这个角色吧"
1010320023,静香,それを言うなら私だって。,要这么说的话我也是
1010320024,静香,本番を重ねるごとに新しい解釈ができるようになって、/nもっともっと、舞台が続けばいいのにって——,"随着演出次数的增加，不断有新的理解产生/n真希望公演能一直持续下去……"
1010320025,心菜,わかる、私も！,我懂的！我也一样！
1010320026,心菜,つまり私たちは、まだまだ伸びる可能性があるってことだね！,这说明我们还有很大成长空间！
1010320027,静香,そうね。,是啊
1010320028,静香・心菜,それに……。,而且……
1010320029,静香,……ここなからどうぞ。,……心菜先说吧
1010320030,心菜,え〜、静香ちゃんから言ってよ。,欸~静香先说嘛
1010320031,静香,もう……こういうときは甘えるんだから。,真是的……你就爱在这种时候撒娇
1010320032,心菜,えへへ……それで、何を言おうとしたの？,嘿嘿……所以你本来想说什么呢？
1010320033,静香,ここなの演技が完成して、成長を実感した時……。/n不思議な感覚がしたの。,"当心菜的演技完成，感受到成长时……/n我有种奇妙的感觉"
1010320034,静香,まるで、ここなの想いが伝わってくるみたいな……。,仿佛能感受到心菜的心意一般……
1010320035,心菜,それ、私も一緒！,我也有同样的感觉啊！
1010320036,静香,えっ……？,欸……？
1010320037,心菜,必死に演技を仕上げた時にね、/n静香ちゃんが、そばにいてくれたような気がして……。,"拼命地完成演技时/n总觉得静香就在身边……"
