Id,SpeakerName,Phrase,translation
2002403001,记者,――それで、ダイスターを受賞されるにいたった、と。,——于是您就获得了大明星称号。
2002403002,八恵,はい。シリウスの皆さんのおかげで。,是的。多亏了天狼星的大家。
2002403003,记者,ふふ、素敵なエピソードをありがとうございます。/nでは、続いて役者を目指したきっかけについてお聞かせいただけますか？,呵呵，感谢您的分享。/n接下来能谈谈立志成为演员的契机吗？
2002403004,八恵,はい！/n役者を目指したきっかけは、そちらにいる柊さんなんです。,好的！/n我成为演员的契机，是因为旁边的柊姐。
2002403005,望有,……。,……
2002403006,记者,柊望有さん。かつてはシリウスで活躍されたダイスターの方ですね。/n現在はシリウスで裏方として演技指導をされているとか？,柊望有女士。您曾经是活跃在天狼星的大明星吧？/n现在是退居幕后担任演技指导吗？
2002403007,八恵,ええ、そうなんです。,嗯，是的。
2002403008,八恵,優しく厳しく、たくさん指導をしていただいています。,她既温柔又严格，给了我很多指导。
2002403009,望有,ちょっと、八恵。,差不多就好了，八恵。
2002403010,记者,もし、差し支えなければより詳細なエピソードを/nお伺いしてもよろしいでしょうか？,方便的话能详细说说/n您们之间的故事吗？
2002403011,八恵,もちろんです。/n私は以前、近くの教会の聖歌隊に所属していたのですが――,当然可以。/n我以前在附近教堂的唱诗班时——
2002403012,,,
2002403013,八恵,演劇、ですか？,演戏，吗？
2002403014,望有,ええ。あなたには舞台の上で輝くセンスがあるわ。,对。你有能在舞台上大放异彩的个性。
2002403015,望有,シリウスに来てみない？,要不要来天狼星看看 ？
2002403016,八恵,……。,…………
2002403017,望有,これ、今度の公演のチケット。/n演目は『星の王子さま』。,这是下次公演的票。/n剧目是『小王子』。
2002403018,望有,興味があったら、一度観に来て。,有兴趣的话就来看看吧。
2002403019,八恵,あ、はい……。,啊，好的……
2002403020,八恵,ありがとうございます。,谢谢您。
2002403021,,,
2002403022,,まるで、夢を見ているようでした。,简直像在做梦一样。
2002403023,,舞台の上には、王子さまを演じる柊さんと、ぼくを演じる流石さん。,"舞台上有饰演王子的柊姐，和饰演『我』的流石。"
2002403024,,,
2002403025,,柊さんが喋ると誰もが物語に引き込まれて、夢中になっていく。,柊姐一开口，所有人都被拉进了故事里，沉醉其中。
2002403026,,柊さんが悲しい顔をすれば、みんながかなしみ、/n柊さんがほほ笑めば――,当柊姐露出悲伤的表情时，大家也会一起伤心，/n当柊姐微笑时——
2002403027,,,
