Id,SpeakerName,Phrase,translation
2003106001,讲师,それでは次のプログラムに移りましょう。/n次は無言劇を演じてもらいます。,那么进入下一个环节吧。/n接下来表演默剧。
2003106002,讲师,舞台上で役を演じる際は、台詞を発するだけでなく、/n表情、身振り手振り、立ち姿も演技に含まれますよね。,在舞台上进行表演时，不仅是台词，/n表情、肢体动作、站姿都是表演的一部分对吧。
2003106003,讲师,みなさんには今から台詞を使わず感情やストーリーを伝えてもらいます。/n難しいと思うかもしれませんが、リラックスして臨んでくださいね。,接下来请大家试着不用台词传达情感和故事。/n虽然可能会觉得很困难，但请放松应对。
2003106004,静香,無言劇か。/nあんまりやったことないから興味あるのよね。,默剧啊。/n平时很少接触所以我还挺感兴趣的。
2003106005,知冴,まかせて。ジェスチャーゲーム得意だから。,交给我吧。我最擅长你比我猜了。
2003106006,卡特莉娜,そういうのじゃないでしょ……。,才不是那种东西啦……
2003106007,讲师,課題は『孤独の絶望と希望』になります。/n無言劇も、もちろんひとりずつ演じてもらいます。,课题是『孤独的绝望与希望』。/n默剧也一样，要求单独表演。
2003106008,讲师,少し抽象的なテーマなので難しいかもしれませんが、/n皆さんの思うストーリーを、始まりから終わりまで演じてくださいね。,主题比较抽象可能会有些难度，/n但请大家完整演绎你们心中构思的故事。
2003106009,静香,孤独の絶望と、希望……。,孤独的绝望与希望……
2003106010,讲师,表現方法は現実的な動作じゃなくて構いません。マイムはもちろん、/nダンスやバレエなどの踊りも自由に取り入れてください。,表现方式不必拘泥于现实动作。默剧手法自不必说，/n舞蹈或芭蕾等动作都可以自由加入。
2003106011,知冴,いいね。楽しそうだ。,不错啊。好像很有趣。
2003106012,卡特莉娜,ダンスか……。/n確かに心象風景を表すにはぴったりね。,舞蹈吗……/n确实很适合表现内心世界。
2003106013,讲师,考える時間は少し長めに取りましょう。気負わず、/n自由に、自分の心の奥底にある感情を表現してみてください。,构思的时间可以稍微延长。不要有压力，/n自由地表达内心深处的感情吧。
2003106014,静香,……。,……。
2003106015,静香,自分の奥底にある気持ち、か。,内心深处的感情，吗……
2003106016,卡特莉娜,普段は役になりきることを求められているけど、今回は違う。,平时都是要求完全融入角色，但这次不同。
2003106017,静香,うん……。/nそんな経験、あんまりないから少し悩んじゃうかも。,嗯……/n没什么经验这点，可能会有点困扰。
2003106018,静香,ここなの理想としてお手本を演じる、とはまた違うし……。,和作为心菜理想的示范表演不同……
2003106019,卡特莉娜,ああ……アンタはいつも、ここなに演技を教えてるものね。,啊……你总是在教心菜怎么演戏呢。
