Id,SpeakerName,Phrase,translation
2001408001,静香,『オペラ座の怪人』……/nオーディションで見たカトリナの芝居は鬼気迫るものだった。,『歌剧魅影』……/n在试镜时看到的卡特莉娜的表演令人惊心动魄。
2001408002,静香,舞台への情熱と渇望。不遇な環境への憎悪。全てが振り切れた演技で……。,对舞台的热情与渴望。对不幸环境的憎恨。一切都在极限的演技中释放出来……
2001408003,,,
2001408004,静香,そこに『私』を見た。,在那之中，我看到了『我』。
2001408005,静香,あの感情を私は全部知ってる。全部、持ってる。/nどれだけカトリナが役に踏み込んだのか、肌で感じ取れた。,那些情感我全都明白，全都，体会过。/n卡特莉娜她对角色投入了多少，我都能切身感受到。
2001408006,静香,このままだと、きっとここなは負ける。ここなが持っていたはずの/nその感情を私が抱えている限り勝てない。だから――,如果再这样继续下去，心菜一定会失败的。/n只要我拥有这些本该属于她的感情，她就无法获胜。所以——
2001408007,,,
2001408008,,,
2001408009,静香,返すね、この気持ち。,我会把这份感情还给你。
2001408010,,,
2001408011,静香,私はセンス。ここなが舞台の上で必要だった装置。/nこの日のために私は生まれたんだって、その時は思った。,我是个性。我是心菜在舞台上所需要的装置。/n我曾经认为，我就是为了这一天而诞生的。
2001408012,心菜,でも、私は悲しかったよ。静香ちゃんの優しさが。/n舞台に立ちたいのに、その気持ちまで私に譲る、諦めみたいな感情が……。,但是，静香你的那份温柔让我感到非常难过啊。/n明明也渴望着站上舞台，却连那份心情也一同让给了我，那种近乎放弃的感情……
2001408013,潘达,……結果、ここちゃんはおシズちゃんの舞台への激情と喪失感。/nその二つを絶妙なバランスで演じきることができた。,……最终，心心完美呈现了小静对舞台的炽热执念与怅然若失。/n在演出中将这两种情感的交织平衡得堪称绝妙。
2001408014,知冴,あの時は胸がきゅっと苦しくなったよ。/nそんな風に感じられる芝居は、なかなか見られない。,那时我感到胸口一阵紧缩。/n能让人有那种感觉的表演，真的不常见。
2001408015,静香,……ここまでが、私の物語。/nその後は、みんなも知ってるでしょ？,……到这里为止，就是我的故事。/n之后的事，大家也都知道了吧？
2001408016,潘达,本番のここちゃんですね！　あれは驚きでしたよ。/nまさかここちゃんがテレーゼさんと同じようなセンスを発動するとは。,之后就是正式演出时的心心了吧！/n真是让我大吃一惊。没想到心心竟然能展现出和特蕾莎小姐类似的个性。
2001408017,知冴,シャモ婆も言ってた。センスは役者が舞台から客席まで/nその空間をコントロールするためにあるって。,纱茂婆也说过。个性是为了让演员能够/n控制从舞台到观众席的空间。
2001408018,知冴,自分の思い描く舞台をありのまま、そのまま感じさせるために……。,为了让自己心中构想的舞台能够如实地、直接地传递给观众……
2001408019,知冴,それが、役者の目指す最高の演技だから。/nそこに辿り着くまで……センスはどこまでも進化するって。,这就是演员追求的最高演技。/n在那之前……个性会不断进化。
2001408020,静香,…………まあ？　あれ以来、同じことができなくなってるけど。/nね、ここな？,……是吧？但从那以后，已经没法重现第二次了。/n对吧，心菜？
2001408021,潘达,そうですよね～。ぶっちゃけ、ここちゃんの演技は初回公演がピークでしたよ。,是啊～说实话，心心的演技只有在首场公演时达到了巅峰。
2001408022,心菜,う……！　だ、だってあの時は静香ちゃんを呼び戻したくて必死だったから。,呜……！因为那时我拼尽全力想把静香给呼唤回来。
2001408023,知冴,もう一度見たかったな。存在しないはずのパリの街並。美味しそうなパン。,真想再见识一次啊。那本不该存在的巴黎街道。和看起来好好吃的面包。
2001408024,潘达,いや、パンは最初から小道具であったろ。つーか毎公演食ってたじゃん。,不对，面包一开始就是道具吧。说起来，你不是每场公演都在吃嘛。
2001408025,知冴,あー……そうだった、かも。,啊……好像是，那样的。
2001408026,潘达,とにもかくにも……色々聞かせてくれてありがとうございました。/nあとはおシズちゃんを主役にした戯曲をばばばーっと書き上げて………。,总之……谢谢你跟我分享这么多。/n接下来就是写出以小静为主角的剧本了……
2001408027,静香,う……そ、そっか。そういえば舞台にするとか、そんな話だったわね。,呜……是、是吗。说起来，好像有说过要把它搬上舞台来着。
2001408028,静香,やっぱりやめにしない？,果然还是算了吧？
2001408029,潘达,えー、なんでですか？,诶，为什么呢？
2001408030,静香,だって、さすがに恥ずかしいっていうか……,因为，实在是有点不好意思……
2001408031,静香,ねえ、ここな？,你说呢，心菜？
2001408032,心菜,これ、静香ちゃん役はオーディションなのかな？/n私、参加したい！,这个，静香的角色是要通过试镜来竞争吗？/n我想参加！
2001408033,静香,やる気充分！？,干劲满满！？
2001408034,潘达,自分で自分を演じるのはズルくないですか？,自己演自己，不觉得有点不公平吗？
2001408035,知冴,自分のようで自分じゃないから、アリなんじゃない？,因为看起来像自己，但又不是自己，所以可以吧？
2001408036,心菜,そうだよ。私はここなで、静香ちゃんは静香ちゃんだもん！,对啊。我是心菜，而静香就是静香！
2001408037,卡特莉娜,オーディションなら、私も参加するわ。,如果有试镜的话，我也要参加。
2001408038,静香,カトリナに八恵ちゃん！？　聞いてたの？,卡特莉娜和八恵！？你们都听到了吗？
2001408039,卡特莉娜,壁、薄いのよ、この寮。仕方ないでしょ？/nどこにいても聞こえるんだから。,这宿舍的墙太薄，也没办法吧？/n无论在哪里都能听见。
2001408040,八恵,カトリナさん、台本読みながらしっかり壁際に背を預けてましたよね？/n私にも静かにしててって……。,卡特莉娜，你读剧本的时候背靠着墙吧？/n还让我安静点……
2001408041,卡特莉娜,なんで言うの！？,为什么要说出来！？
2001408042,八恵,あ、私はせっかくなので当時のカトリナさんを演じてみたいです。/nドイツ語も喋れるようになりたいですし。,啊，我想趁这个机会演一下当时的卡特莉娜。/n也想学一下说德语。
2001408043,知冴,じゃあ私はボスがやりたいな。そうなると……私役は誰がいいかな。/n静香、やる？,那我想演大姐头。这样的话……我的角色让谁来演好呢？/n静香，要演吗？
2001408044,静香,え……。,诶……。
2001408045,潘达,はいはい！　ただでさえちょっと込み入った話なのに/n配役までごちゃごちゃしたらややこしくなるじゃないですか！,好了好了！本来就已经够复杂了，/n要是连配角都乱糟糟的话就更麻烦了吧！
2001408046,潘达,まずは戯曲を完成させるので、それまで配役に関しては保留！/n柊さんたちが公演を認めてくれたらこの先は進めましょう。,首先是完成剧本，关于配角先暂时保留！/n如果柊姐她们同意演出，再继续讨论吧。
2001408047,,,
2001408048,静香,ごめんね。,对不起。
2001408049,心菜,え？　何が？,诶？什么事？
2001408050,静香,今日の話。ここなにとっては、イヤなことも多かったでしょ？,今天的事。对心菜来说，应该有不少让你感觉不开心吧？
2001408051,心菜,……ううん。静香ちゃんが何を思ってたのか聞けてよかったよ。,……没有哦，能听到静香在想什么，反而觉得很高兴。
2001408052,静香,そっか。,是吗。
2001408053,心菜,それに、ちょっと前のことなのに懐かしかったな。/n『竹取物語』も、『アラビアンナイト』も、『オペラ座の怪人』も……。,而且，虽然是已经是之前的事了，但还是很怀念呢。/n无论是『竹取物语』、 还是『一千零一夜』、又或是『歌剧魅影』……
2001408054,心菜,色々あったけど……またやりたい。,虽然发生了很多事……但我还想再尝试一次。
2001408055,静香,そうね。きっと今のここなならもっとうまくできるよ。/n二人一役で頑張ろう。,是啊。我相信现在的心菜一定能做得更好。/n两个人一起努力吧。
2001408056,心菜,ふたりで……,两个人一起……
2001408057,心菜,ううん。それだけじゃダメだよ。,不，这样还不够。
2001408058,静香,え？,诶？
2001408059,心菜,さっき流石ちゃんも言ってたよね。センスは進化するって。,刚才流石也说了吧，个性是会进化的。
2001408060,心菜,もしかしたら、私も、静香ちゃんも舞台に立っているうちに新しいセンスに/n出会えるかもしれない。,或许，我和静香在舞台上演出时，/n会各自遇到新的个性呢。
2001408061,心菜,だから、色んな挑戦……してみてもいいと思うんだ。/n静香ちゃんが舞台に立つことだって、やっていいんだよ。,所以，我觉得可以……尝试各种挑战。/n静香也可以站上舞台，完全可以的。
2001408062,静香,ここな……。,心菜……
2001408063,心菜,だから、新しい約束をしよう。/nいつかふたりで別の配役で舞台に立って……一緒にお芝居するって。,所以，我们做个新的约定吧。/n总有一天我们两个要以不同的角色站上舞台……一起演戏。
2001408064,心菜,あの防波堤でやってた頃みたいに。,就像当时在防波堤上那样。
2001408065,静香,柊さんが許してくれたらね。,如果柊姐允许的话。
2001408066,心菜,そこは、ふたりで頑張ろう！,关于这一点，就让我们一起努力吧！
2001408067,静香,……うん。じゃあ、約束。,……嗯。那就约好了。
2001408068,,,
2001408069,,,
2001408070,心菜,約束。,约好了。
2001408071,心菜・静香,いつか、二人で。,总有一天，两个人一起。
Chapter,回忆中许下的约定,,
title,全新的梦想，二人的约定,,
info,翻译：苏米热  校对：XXX,,
