Id,SpeakerName,Phrase,translation
1010316001,心菜,ごめん！　今のところ、もう一度お願い！,抱歉！刚才的那个部分请再来一次！
1010316002,潘达,ま、またですかぁ！？　/nこのシーン、今日だけでもう20回は稽古してますよ！？　,"还、还要来吗！？/n这个场景今天已经排练20次了哦！？"
1010316003,心菜,遅くまで付き合わせちゃって、本当にごめん！　,让你们陪我到这么晚真是对不起！
1010316004,心菜,でも、ほたるに対するひよりの気持ちを、もう少し固めておきたいの。,但我想再巩固一下日和对萤的情感表达
1010316005,潘达,……まぁ、ここちゃんが満足するまでお付き合いしますよ。/n主演がここまでやる気出してるなら、無下には出来ませんしね。,"……好吧，就陪到心心满意为止/n主演这么有干劲，可不能泼冷水"
1010316006,知冴,ここな、私も混ぜてよ。,心菜，也加我一个吧
1010316007,心菜,ありがとう流石ちゃん！　/nだったら、お母さんと一緒に出てくるシーンから——,谢谢你啊流石！/n那就从和妈妈一起出场的场景开始——
1010316008,,,
1010316009,八恵,最近のここなさん、すっごく燃えてますね！　,最近心菜小姐干劲十足呢！
1010316010,八恵,全身から力が溢れ出してるみたいです。何があったんでしょうね？　,感觉全身都充满了能量，是发生什么了吗？
1010316011,卡特莉娜,静香は知らないの？　ここなが、ああなってる理由。,静香不知道吗？心菜变成那样的原因
1010316012,静香,私は……。,我……
1010316013,望有,理由はどうあれ、ここなに火がついたのは事実よ。,不管原因如何，心菜燃起斗志是事实
1010316014,纱茂,ええ、見違えるように変わったわね。/n主役としての顔ができるようになっているわ。,"是啊，简直是脱胎换骨。/n开始有主演该有的气场了"
1010316015,八恵,柊さんとシャモさんは、ここなさんに何があったと思います？,柊姐和纱茂婆婆觉得心菜小姐怎么了？
1010316016,望有,さてね。でも——,谁知道呢。不过——
1010316017,望有,あの目に宿った光は、見覚えがあるわ。,她眼里的光芒似曾相识
1010316018,望有,『オペラ座の怪人』のオーディションに現れてから、本番まで。/nあの子はあんな目をしていた。,"从『歌剧魅影』的试镜到正式演出/n她都是这样的眼神"
1010316019,卡特莉娜,……そうね。,……确实
1010316020,纱茂,それだけじゃないわよ。,不止如此哦
1010316021,卡特莉娜,えっ？,哎？
1010316022,纱茂,これまでは、ただ一生懸命、全力で頑張っているだけだった。/nでも今は、別の想いに変わっているはずよ。,"以前只是单纯的拼尽全力/n但现在的信念可是截然不同哦"
1010316023,纱茂,大切な人のために、自分の全てをかけて役と向き合っている。/nきっと、素敵なひよりになるわね。,"为重要之人倾尽所有塑造角色/n一定会成为出色的日和的"
1010316024,望有,連尺野が悔しがる顔が目に浮かびます。,已经能想象到连尺野不甘心的表情了
1010316025,八恵,大切な人のために、自分の全てをかけて……。,为了重要之人倾尽所有……
1010316026,八恵,ここなさんにそこまでしてもらえる人が羨ましいですね。,真羡慕能让心菜如此付出的人呢
1010316027,卡特莉娜,……そうね。,……是啊
1010316028,静香,……………。,"……………"
1010316029,静香,（あの日から、ここなの頑張る姿をずっと見守ってきた。/n　もし何かあったら、すぐに止められるように）,"（从那天起我就一直在关注着心菜的努力/n随时准备在她出问题时阻止她）"
1010316030,静香,（でも、ここなは決意を曲げなかった。/n　今までで一番集中して、自分の演技を作り上げようとしている）,"（但心菜的决心没有动摇/n现在也正以之前从未有过的专注力塑造着演技）"
1010316031,静香,（何となくだけど……わかる。/n　ここなは成長してるんだ。すごいスピードで……）,"（虽然说不清……但能感受到/n心菜在飞速成长）"
1010316032,静香,（……私は、私のことをしないと。/n　ここなに置いていかれないように）,"（……我必须做好自己/n为了不被心菜甩开）"
1010316033,静香,（ここなの隣に並べるような、最高の演技をするために……！）,（为了能站在心菜身旁，呈现最棒的演技……！）
1010316034,,,
1010316035,心菜,静香ちゃん……？,静香……？
1010316036,潘达,ん？　どうかしました？,嗯？怎么了？
1010316037,心菜,……ううん、なんでもない！,……没、没事！
1010316038,心菜,（不思議。静香ちゃんがすぐ隣にいてくれる気がする）,"（好奇怪，总觉得静香就在身边）"
1010316039,心菜,（だったら、なおさら恥ずかしいところを見せられないよね……！）,（那就更不能露出丢脸的样子了……！）
title,气魄,,
info,翻译：苏米热 校对：XXX,,
chapter,天狼星 3章,,
