Id,SpeakerName,Phrase,translation
2001405001,考官,センスがない。,没有个性。
2001405002,考官,大事なのは客を沸かせるセンス！,最重要的是能激起观众热情的个性！
2001405003,考官,不合格。,不合格。
2001405004,考官,不合格。,不合格。
2001405005,考官,不合格。,不合格。
2001405006,心菜,……。,……
2001405007,心菜,どうして……/nどうして私は、持ってないの。,为什么……/n为什么我没有呢？
2001405008,心菜,センスがなきゃ、ダイスターになんか……。,没有个性的话，根本不可能成为大明星……
2001405009,静香,ここな……。,心菜……
2001405010,静香,ここな！　聞いて！　私だよ！　静香！,心菜！听我说！是我！静香！
2001405011,静香,ここなは持ってる！/nちゃんと……持ってるんだよ。私が……！,你有个性的！/n真的……你有的！我知道的……
2001405012,静香,私がきっと……ここなのセンス。,我一定是……心菜你的个性。
2001405013,,,
2001405014,静香,ここなが自信を失った時、私は目を覚ました。/nその時にはもう自分が何者かなんてわかってた。,当心菜失去自信时，我苏醒了。/n那时候，我就已经知道自己是谁了。
2001405015,静香,ここなは自分の一部を、私を……センスを、落としちゃったんだ。/n溢れる涙と一緒に、その手からぽろぽろと。,心菜把自己的一部分，把我……把个性，给丢失了。/n和溢出的泪水一同，从她的手里一点一点掉下来。
2001405016,心菜,静香ちゃん……。,静香……
2001405017,心菜,私……あの時一度、諦めたんだ。夢を見るのはもうやめようって。/nワールドダイスターなんて、夢のまた夢。役者になるのも、きっと無理だって。,我……在那时想过放弃。不再做这样的梦了。/n世界大明星什么的，完全是遥不可及的梦。连成为演员，对我来说都是不可能的。
2001405018,心菜,でも……諦められなかったんだ。家に帰る途中。電車の中で、ずっと頭の中ぐるぐるしてた。,但是……我还是没法放弃。/n回家的途中，在电车上，脑海里一直转个不停。
2001405019,,,
2001405020,,,
2001405021,心菜,諦めよう。,放弃吧。
2001405022,心菜,ううん、諦めたくない。,不，我不想放弃。
2001405023,心菜,もう一度だけ。,再试一次吧。
2001405024,心菜,無理だよ。同じ事言われちゃう。,不行的。还会被说一样的话。
2001405025,心菜,でも……。,但是……
2001405026,心菜,このままもし役者になれたとして、どうするの？/n私はどうなりたいの？　本当にダイスターになれると思ってる？,就算我之后真的能成为演员，那又怎么样呢？/n我到底想成为什么？我真的觉得自己能成为大明星吗？
2001405027,,,
2001405028,心菜,――なんて。何度も何度も行ったりきたり。,——类似的想法。在脑海中不断盘旋。
2001405029,心菜,でもね……やっぱり諦めたくなかったんだ。,但是啊……果然我还是不想放弃。
2001405030,静香,だから、私はもう一度ここなの前に立つことができた。/nここなの心が挫けなかったから。もう一度願ってくれたから。,所以，我才能再一次站在心菜面前。/n因为心菜的心还没有被打败，因为她再次许下了愿望。
2001405031,,,
2001405032,心菜,舞台に立ちたい……もう一度、あの時みたいに。,我想再一次站上舞台……就像那时候一样。
2001405033,心菜,あの頃みたいに……。,就像小时候一样……
2001405034,静香,ここなをダイスターにしてあげたい。二人でやればきっと叶う。/n二人でならどんな役だって……。,我想让心菜成为大明星。只要我们两个人一起努力就一定能够实现。/n只要我们在一起，无论是什么角色……
2001405035,心菜,ダイスターになりたい。あの頃みたいに楽しく演じたい。/nどんな役でもできる気がした、あの頃みたいに……。,我想成为大明星。想要像小时候一样快乐地演戏。/n就像那个我觉得自己能演好任何角色的时候一样……
2001405036,,,
2001405037,静香,そして、帰りの電車の中で、ここなと私はまた出会った。,于是在那之后，在回家的电车里，我和心菜再次相遇了。
Chapter,回忆中许下的约定,,
title,二人的理想。同一个心愿,,
info,翻译：苏米热  校对：XXX,,
