Id,SpeakerName,Phrase,translation
2003102001,静香,……。,……。
2003102002,静香,カトリナ、ストレッチ付き合ってくれない？,卡特莉娜，能陪我拉伸吗？
2003102003,卡特莉娜,いいわよ。,好啊。
2003102004,知冴,おぉー……。,哦——……。
2003102005,静香,どうしたの流石？,怎么了流石？
2003102006,知冴,どこかでうっすら見た顔がいっぱいだなって。/nあの壁際にいるグループも、浅草で活動してる劇団の人たちだよ。,总觉得有好多似曾相识的面孔啊。/n那边墙角的小团体也是由在浅草活动的剧团成员组成的。
2003102007,卡特莉娜,うっすら見た顔って……。/nなんせ講師が有名な人だし、参加者もプロの演じ手が揃ってるわね。,似曾相识什么的……。/n毕竟讲师这么有名，参加者也都是专业演员呢。
2003102008,静香,……なんだか私たちも見られてない？,……总感觉我们也被关注着？
2003102009,卡特莉娜,シリウスに所属してるんだから当たり前でしょ？/n立ち振る舞いには気をつけなきゃ。,作为天狼星的成员这是理所当然的吧？/n必须要注意仪态举止。
2003102010,静香,さすがカトリナ、慣れてるわね……。,不愧是卡特莉娜，真熟练啊……。
2003102011,参加者里的女孩子,――あのっ……！,──那个……！
2003102012,静香,はい？,嗯？
2003102013,参加者里的女孩子,突然すみません。/n私、シリウスのファンで……！,很抱歉突然打扰。/n我是天狼星的粉丝……！
2003102014,静香,そうなんですね、ありがとうございます。/nあっちにカトリナと流石が……。,这样啊，谢谢支持。/n卡特莉娜和流石在那边……。
2003102015,参加者里的女孩子,あなた、『竹取物語』の新人公演に出演されてましたよね……？/n月の使者役で……。,你是出演过『竹取物语』里的月之使者的新人演员对吧……？
2003102016,静香,……え？/nは、はい。,……哎？/n是、是的。
2003102017,参加者里的女孩子,やっぱり！　私、あなたの演技がすごく好きなんです。/nなのに他の公演ではお見かけしないから……会えて嬉しくて……。,果然是啊！我超喜欢你的演技。/n但在其他公演都没看到你……能在这里见到你好开心……
2003102018,静香,あ……。/nそれは……。,啊……。/n这个……。
2003102019,卡特莉娜,よかったじゃない、静香。,这不是挺好的吗，静香。
2003102020,卡特莉娜,ごめんなさい、アタシたちストレッチがまだ終わってなくて。/nこの子に付き合ってもらわないといけないんです。,抱歉，我们拉伸还没做完。/n必须先陪她拉伸一下。
2003102021,参加者里的女孩子,あっ、ごめんなさい！,啊，对不起！
2003102022,静香,いえいえ。舞台を観てくれてすごく嬉しいです。/n今後もシリウスをよろしくお願いします。,没事没事。谢谢你能来看我们的演出。/n今后也请继续支持天狼星。
2003102023,参加者里的女孩子,あの……静香さん、応援してますから。/n次の舞台、楽しみにしてます。,那个……静香小姐，我会继续支持你的。/n期待你下次的舞台。
2003102024,静香,……。,……。
2003102025,知冴,やったね静香。ファン獲得だ。,干得漂亮，静香。收获粉丝了呢。
2003102026,静香,……ええ、良いことなのかはわからないけど……。,……嗯，虽然不知道是不是好事……。
2003102027,知冴,どうして？/nほめてもらってたのに。,为什么？/n明明被夸奖了。
2003102028,静香,だって、私はシリウスの正式な役者じゃないでしょ？,因为，我还不是天狼星的正式演员啊？
2003102029,卡特莉娜,……。,……。
2003102030,静香,あ、先生が来たわよ。,啊，老师来了。
2003102031,讲师,皆さんお揃いですね。今日はパントマイムの基礎を覚えてもらいながら、/nそれらを活かして即興劇と無声劇に挑戦してもらいます。,大家都到齐了呢。今天请大家在掌握默剧基础的同时，/n运用这些技巧挑战即兴剧和无声剧。
2003102032,讲师,まずはパントマイムについてですが――,首先是关于默剧——
2003102033,,,
2003102034,讲师,それでは即興劇に挑戦してみましょうか。/n私がお題を出しますので、呼ばれた人は舞台に来てください。,接下来试试挑战即兴剧吧。/n由我来出题，被叫到的人请到舞台上来。
2003102035,卡特莉娜,エチュードか……。,即兴演出啊……。
2003102036,静香,私はたまにここなとやるわ。/nカトリナは事前準備を入念にしておくタイプよね。,我偶尔会和心菜练这个。/n卡特莉娜是那种会提前仔细准备的类型吧。
2003102037,卡特莉娜,別に、苦手とかじゃないわよ。/nあんまりやらないだけで……。,倒也不是不擅长啦。/n只是不太经常练习而已……
2003102038,讲师,それでは、カトリナ・グリーベルさん。/n前へどうぞ。,那么有请卡特莉娜·格利贝尔。/n请上台。
2003102039,卡特莉娜,トップバッター……！？,第一个上场……！？
2003102040,知冴,おお、カトリナがお手本を見せてくれるんだね。,哦哦，卡特莉娜要给我们做示范呢。
2003102041,卡特莉娜,ちょっと流石。/nハードル上げないでくれる？,流石真是的。/n别给我增加难度啊？
2003102042,静香,ふふ、いってらっしゃい。,呵呵，加油哦。
2003102043,卡特莉娜,まったく……。,真是的……。
2003102044,讲师,お題は『傘を忘れて雨に降られる演技』です。/nこれは共通で、もうひとつ、演じる人ごとに設定を追加します。,题目是『忘记带伞结果被雨淋的表演』。/n这是共同的主题，另外每位表演者会追加个人设定。
2003102045,讲师,設定というのはキャラクターのこと。役者は自分ではない別人を演じます。/nカトリナさんは『普通の女子高生』を演じてみてください。,设定是指角色特征。演员要演绎与自己不同的人。/n请卡特莉娜小姐尝试演绎『普通的女高中生』。
2003102046,卡特莉娜,普通の女子高生……？,普通的女高中生……？
2003102047,讲师,ええ、普通の。/nその設定で、なるべく観客を惹き付ける演技をお願いします。,是的，普通的。/n请用这个设定尽量做出吸引观众的表演。
2003102048,卡特莉娜,わかりました。,明白了。
2003102049,讲师,ああ、みなさんセンスは使わないようお願いしますね。,啊，还有请各位不要使用个性。
2003102050,静香,……。,……。
2003102051,讲师,うまくできなくても構いません。失敗から学べることもあるでしょうし、/nこのワークショップでは、より多くの糧を得て帰ってほしいですから。,不用勉强自己。从不足中也能学到东西，/n希望大家能从研习会中得到更多的收获。
2003102052,卡特莉娜,はい。,好的。
title,会场之中,,
info,翻译：苏米热 校对：XXX,,
chapter,倒影中的静思,,
