Id,SpeakerName,Phrase,translation
2003105001,知冴,ふー、お腹すいた。/nお昼の時間だー。,呼——，肚子饿了。/n该吃午饭啦——
2003105002,静香,良い匂いね。/n流石は何買ってきたの？,好香的味道。/n流石买了什么？
2003105003,知冴,ハンバーガー。/nマッシュルームのフライとビーフパティが絶妙に合うんだ。,汉堡。/n炸蘑菇和牛肉饼简直是绝配。
2003105004,卡特莉娜,ジャンクね……。美味しそうだけど。,垃圾食品呢……不过看起来挺好吃的。
2003105005,静香,いやいや、カトリナもたいして変わらないでしょ。/nカツサンドに野菜ジュースじゃない。,呃，卡特莉娜也差不多吧。/n你点的是炸猪排三明治配蔬菜汁吧？
2003105006,知冴,野菜ジュースも、ヘルシーに見えて糖分高かったりするしね。,蔬菜汁看着健康，但其实糖分很高哦。
2003105007,卡特莉娜,アタシはこれで良いの。/n野菜を食べなくても、別に体調は崩してないし。,我就喜欢这个。/n就算不吃蔬菜身体也没问题。
2003105008,静香,本当にいいのかしら……。,真的没问题吗……
2003105009,卡特莉娜,ねぇ、さっき言ってた『昔を思い出した』って何？/n昔からよく、ここなと一緒に即興劇をしてたの？,刚才你说的『想起之前的事』指的是什么？/n之前经常和心菜即兴表演吗？
2003105010,静香,ええ。たいていは知ってる演目や童話がもとだったけど、/n時々、思い思いの設定を即興で演じることがあった。,嗯。虽然基本上演的都是熟悉的剧目或者童话，/n但偶尔也会即兴表演突发奇想的设定。
2003105011,静香,それこそ幼い頃は、唐突な設定を追加したり、/n妙に作りこんだ人物を演じたりして……大変だったけど楽しかったな。,尤其是小时候会一边添加突然的设定，/n一边扮演奇怪的角色……虽然有点困难但真的很开心呢。
2003105012,卡特莉娜,ふーん……。,这样啊……
2003105013,知冴,わかるよ。静香、舞台の上で生き生きしてた。,我懂哦。静香在舞台上总是神采奕奕的。
2003105014,静香,ふふ。/n確かに、今日はちょっと楽しいかも。,呵呵。/n确实，今天还挺开心的。
2003105015,静香,あまり大きな声では言えないけど……私はセンスで、/nみんなの前で演じることはそうそうないから、なんだか新鮮で。,虽然不是很想大声宣扬……但作为个性的我，/n很少在大家面前表演，总觉得挺新鲜的。
2003105016,卡特莉娜,たしかにアタシも不思議な感じだわ。ここなのお手本として演じてるのは/nよく見るけど、静香と一緒に演じることって少ないもの。,确实我也觉得很不可思议。虽然能经常看到你为心菜示范表演，/n但却很少能看到静香一起演出呢。
2003105017,静香,そうよね。私も、カトリナと一緒に演じるのはすごくワクワクした。,是啊。我也是，和卡特莉娜搭档让人非常兴奋呢。
2003105018,静香,だからつい調子に乗っちゃったのかな。,所以才会得意忘形吧。
2003105019,卡特莉娜,……静香。,……静香
2003105020,卡特莉娜,ねぇ。/n聞いてもいい？,可以问你个问题吗？
2003105021,静香,ん？,嗯？
2003105022,卡特莉娜,静香はやっぱり、自分も舞台に立ちたいって思ってるの？,静香你果然还是想登台演出吧？
2003105023,静香,……。,……。
2003105024,知冴,それ、私も気になってた。,这个我也很在意。
2003105025,知冴,前にぱんだが、静香をもとにした劇をやろうとしてた時、/n言ってたよね。私も舞台に立ちたい……って。,"之前潘达说要创作以你为原型的戏剧时，/n你说过『我也想站上舞台』对吧？"
2003105026,静香,そうね……あの時はそう話した。,是啊……那时候确实说过。
2003105027,静香,けど……私はここなのセンス。ここなのために生まれた存在。/nそしてここなが失ったものを引き受けていた存在。,但是……我是心菜的个性。是为了心菜而生的存在。/n也是继承了她失去之物的存在。
2003105028,静香,……そんな存在が、舞台に立っていいのかしらね？,……我这样的存在，真的可以站上舞台吗？
2003105029,卡特莉娜,それは……。,这个……
2003105030,静香,なーんて。/n答えに困る質問しちゃったわね。,开玩笑的啦。/n好像问了个让你为难的问题呢。
2003105031,静香,まあ、まだそれどころじゃないって感じかな。/n自分のことよりも、先にここなを一人前にしなくっちゃ。,现在还不是考虑这个的时候吧。/n比起考虑自己，得先让心菜能够独当一面才行。
2003105032,静香,それにセンスが人の形をして、自我を持っているってだけでも/n不思議なことなのに、私が舞台に上がったらみんな驚いちゃうだろうし。,再说个性拥有人形和自我已经是很不可思议的事了，/n要是我再站上舞台的话大家会更吃惊吧。
2003105033,卡特莉娜,……そう。,……这样啊。
2003105034,卡特莉娜,けど……。自我を持っている以上、アンタはアンタなのよ。/n自分が後悔するような選択はしないほうがいい。,但是……既然拥有自我，你就是独立的个体。/n最好不要做出让自己后悔的选择。
2003105035,卡特莉娜,アタシも、アンタと演じるのは楽しかったわ。/n何かあった時は、アタシも力になってあげるから。,我和你一起演戏也很开心。/n在你有需要的时候，我会帮忙的。
2003105036,静香,……カトリナ。,……卡特莉娜
2003105037,静香,うん……ありがとう。,嗯……谢谢你
title,既是个性，也是演员,,
info,翻译：苏米热 校对：XXX,,
chapter,倒影中的静思,,
