Id,SpeakerName,Phrase,translation
141522001,,,
141522002,カミラ,うう、野菜切るのってむずすぎん？,
141522003,美兎,形は……そこまで気にしなくても大丈夫だよ。/n……そうそう、そんな感じ。,
141522004,カミラ,いやいや手、マジ震えてるんですけど。,
141522005,カミラ,失敗できないの怖えー！,
141522006,美兎,だ、大丈夫だから。ちゃんとできてるよ。/n手だけ切らないように……気をつけてね。,
141522007,カミラ,う、うん！,
141522008,美兎,あ、あはは……。/nもっと力抜いて大丈夫だからね……。,
141522009,美兎,……でも、カミラちゃん。/nお料理上手だと思う。,
141522010,カミラ,え、何を見てそう思ったん！？/nこれなんて切れてなくて、繋がったままだし！,
141522011,美兎,そういうのは後で切ればいいだけだよ。/nそれより、大きさがちゃんと揃ってるでしょ。,
141522012,カミラ,そこはマジで集中してやってる。/nさっき揃ってると美味しくなるって教わったとこだし。,
141522013,美兎,言われてすぐにできるの……すごいと思う。,
141522014,カミラ,料理上手のみとりんに褒められるとアガるわ～。,
141522015,美兎,だから次は……肩の力、抜いてみて。/n力が入りすぎると、危ないからね。,
141522016,カミラ,……こ、こんな感じ？,
141522017,美兎,うんうん……そうそう、リズミカルで良い感じ。/nテンポ、すっごくいいよ。,
141522018,カミラ,…………。,
141522019,カミラ,……ふぃ～終わったぁ。/n舞台に立つレベルで緊張しまくってたわ……。,
141522020,美兎,お疲れ様。/n最近、カミラちゃん頑張ってたの、出てると思う。,
141522021,カミラ,え？頑張ってたって、ウチ、何か頑張ってた？,
141522022,美兎,夏の夜の夢、道具係さんたちのお手伝いとかもしてた……よね？/nあの経験も活きてる……んじゃないかな、って思ったんだけど……。,
141522023,カミラ,あー、それあるかも！いつもなら大雑把なところ、/nなんとなく意識変わってる自覚あるし！,
141522024,美兎,すごいね、カミラちゃん。/nパックの役作りだけでも大変だったのに。,
141522025,カミラ,そんなことないって～。/nやり始めたら、色々面白くなっちゃっただけだし。,
141522026,カミラ,それより、次は何すればいい？,
141522027,美兎,じゃあ……しいたけ、やろっか。,
141522028,,,
141522029,カミラ,えっ、このしいたけの戻し汁って、料理に使うの！？,
141522030,美兎,いいお出汁が出るんだよ。ほら、レシピにも書いてる。/nこれで煮汁を作ると……すっごく美味しくなるんだ。,
141522031,カミラ,へぇ～！/nなんか茶色いし、汚れが出てるのかと思ってた！,
141522032,カミラ,……レシピって、こうして見ると面白～。/nなんで？ってのにも、ちゃんと理由があるの台本みたい。,
141522033,美兎,そうだね。料理と舞台、できるものが違うだけで、/n作り方って意味だと……同じかも。,
141522034,カミラ,深いわ～。/nしいたけの煮汁から深み感じるわ～。,
141522035,,,
141522036,カミラ,中火って、これが中火でいいんだよね？,
141522037,美兎,うん。これでコトコト煮てあげようね。,
141522038,カミラ,前にぱんだたちが配信で料理してたの見たけど、/n火加減とか、教えてもらわないとマジわっかんねぇ～。,
141522039,美兎,大丈夫だよ。大体火が入ったと思ったら、/n爪楊枝で柔らかくなったかみてね。,
141522040,カミラ,なるほど、そうやって火が通ったか調べるんだ。/nあれ？でもレシピの時間通りじゃなくていいの？,
141522041,美兎,え……あ……うん。/nなんとなくで……やるようになっちゃってる。,
141522042,カミラ,なんとなくでできちゃうの、すげー！,
141522043,美兎,……ううん。もしかしたらそれは間違ってるのかも。,
141522044,カミラ,え？,
141522045,美兎,レシピに書かれた時間は絶対ではないけれど、/n美味しい料理を作るために考えられた時間だもん。,
141522046,美兎,美兎の感覚だけじゃなくて、/n１回、基本に立ち返るのも大事なのかも……。,
141522047,カミラ,（……みとりんのこういうところ、電姫的だよねぇ）,
141522048,,,
141522049,カミラ,えええっ、寿司酢ってイチから作れるの！？/nって、みとりんの家ってプロの料理屋さんだからできるか！,
141522050,美兎,ぷ、プロじゃなくても作り方がわかればできるよ～。,
141522051,カミラ,マジで、ウチ、寿司の素しか使ったことないわ……。,
141522052,美兎,美味しくて簡単だもんね。美兎もささっと作るお夕飯だったら、/n便利だから……寿司の素を使うことあるよ。,
141522053,美兎,でも、今日みたいに特別な日は……合わせ酢から作って、/n特別感を出したい……って思うから。,
141522054,カミラ,なるほどねぇ～。,
141522055,カミラ,ウチもやれるようにレシピメモッとこ！,
141522056,美兎,メモるだけじゃなくて……カミラちゃん、やってみて？,
141522057,カミラ,うえぇっ！？む、無理無理無理！さすがに味付けの部分じゃん！/nここミスったら全部台無しとか、責任重大すぎだって！,
141522058,美兎,分量さえ間違えなければ、本当に簡単だから。/nこれも勇気……だと思うよ。,
141522059,カミラ,……それを言われちゃったら、断れないよねぇ。,
141522060,カミラ,うっし！勇往邁進！阿岐留カミラ、行かせてもらいます！,
141522061,,,
141522062,カミラ,うわ！マジでちゃんと寿司飯になってる！/nすっげ！？合わせ酢マジパない！,
141522063,美兎,ここにこんな風に具材を混ぜ込んで……。/n錦糸卵と……菜の花で……飾り付ければ……。,
141522064,美兎,はい、完成。/n春満開ちらし寿司！,
141522065,カミラ,やっば！思ってた以上にエモ！,
141522066,カミラ,卵の黄色と、菜の花の緑に、エビやいくらの赤でめっちゃバエる！/n茶色いのも……甘じょっぱい味が浮かんで、見てるだけで幸せになるわ！,
141522067,美兎,ね？初めてでもちゃんとできたでしょ？,
141522068,カミラ,……やっぱみとりんすげー。,
141522069,美兎,え？,
141522070,カミラ,だって、ウチひとりだったら絶対てんやわんやの大騒ぎだって！/nウチが難しいところも、さっとやってくれたし！,
141522071,カミラ,うん、みとりんのサポートなかったら、/n絶対ボウルとか引っ繰り返して心折れてた！,
141522072,美兎,ふふ、美兎だけじゃなくて、がんばったのはカミラちゃんもだよ。/n飾り付けがこんなに綺麗にできたのだって、カミラちゃんのおかげだもん。,
141522073,美兎,だから、ふたりが頑張ったちらし寿司……ね。,
141522074,カミラ,うん、だね。,
141522075,美兎,あ、写真！これならきっとみんなも春を……感じてくれると思うよ。,
141522076,カミラ,そーだった！じゃ、みとりんも一緒に入って！,
141522077,カミラ,真ん中にお寿司がくるように……じゃ、撮るよ！,
title,请在此添加章节标题,,
info,翻译：XXX  校对：XXX,,
